,code,name,cur_price,volume,high_price,low_price
000020,000020,동화약품,-9940,102144,10050,-9890
000030,000030,우리은행,0,0,0,0
000040,000040,KR모터스,538,228857,541,-519
000050,000050,경방,11150,26542,11250,11000
000060,000060,메리츠화재,23400,117012,23550,-22850
000070,000070,삼양홀딩스,88100,18897,88200,-84000
000075,000075,삼양홀딩스우,48350,357,48550,-47550
000080,000080,하이트진로,17600,170129,17600,-17100
000087,000087,하이트진로2우B,14650,75,14650,-14550
000100,000100,유한양행,-244000,46478,245500,-242000
000105,000105,유한양행우,213500,90,215000,-211500
000120,000120,CJ대한통운,180500,69130,180500,-173000
000140,000140,하이트진로홀딩스,7820,7814,7820,-7710
000145,000145,하이트진로홀딩스우,8240,207,8240,-8130
000150,000150,두산,-96700,508271,-101000,-96000
000155,000155,두산우,-71600,18997,-72100,-70000
000157,000157,두산2우B,-72600,789,-73400,-71800
000180,000180,성창기업지주,-2220,116041,2255,-2170
000210,000210,대림산업,-98600,192803,100500,-96700
000215,000215,대림산업우,-38850,2373,39100,-38200
000220,000220,유유제약,-12050,49651,12300,-11700
000225,000225,유유제약1우,-7290,4796,7450,-7240
000227,000227,유유제약2우B,18800,492,18800,-18600
000230,000230,일동홀딩스,-12750,5441,13050,-12500
000240,000240,한국타이어월드와이드,16150,90930,16150,-15750
000270,000270,기아차,36500,1334529,36500,-35050
000300,000300,대유플러스,-959,932581,1010,-951
000320,000320,노루홀딩스,13950,2177,14000,-13850
000325,000325,노루홀딩스우,-19050,5482,19200,-18600
000370,000370,한화손해보험,-5390,269969,5470,-5320
000390,000390,삼화페인트,-6800,5208,6920,-6800
000400,000400,롯데손해보험,2710,128033,2725,-2695
000430,000430,대원강업,-5110,348221,5290,-5110
000480,000480,조선내화,85000,212,85000,-84300
000490,000490,대동공업,6820,149786,6870,-6710
000500,000500,가온전선,19200,20024,19300,-18700
000520,000520,삼일제약,-21800,36565,22100,-21550
000540,000540,흥국화재,-4900,15391,4920,-4860
000545,000545,흥국화재우,5840,10684,5840,-5640
000547,000547,흥국화재2우B,25200,1547,25250,-24850
000590,000590,CS홀딩스,-65300,1950,65900,-64200
000640,000640,동아쏘시오홀딩스,108500,12272,108500,-104500
000650,000650,천일고속,75700,415,75700,-75100
000660,000660,SK하이닉스,77400,2313376,77400,-75100
000670,000670,영풍,778000,1751,778000,-738000
000680,000680,LS네트웍스,2925,33702,2980,-2880
000700,000700,유수홀딩스,-7750,160670,7940,-7620
000720,000720,현대건설,-62400,921888,63300,-60900
000725,000725,현대건설우,-203000,5026,-215000,-200000
000760,000760,이화산업,20900,23413,24850,-20550
000810,000810,삼성화재,301000,112781,301000,-286500
000815,000815,삼성화재우,179500,7027,180000,-178500
000850,000850,화천기공,42800,4792,43050,-42600
000860,000860,강남제비스코,27800,12022,27900,-26950
000880,000880,한화,-33700,236362,33750,-32850
000885,000885,한화우,-21350,3570,21650,-20900
00088K,00088K,한화3우B,15300,34429,15300,-15100
000890,000890,보해양조,-1970,4857707,2035,-1950
000910,000910,유니온,-5220,561861,5620,-5180
000950,000950,전방,18650,427,18700,-18550
000970,000970,한국주철관,-10950,167324,11300,-10750
000990,000990,DB하이텍,13400,1193800,13600,12700
000995,000995,DB하이텍1우,36450,1089,37700,-35100
001020,001020,페이퍼코리아,1030,148072,1050,-1010
001040,001040,CJ,126000,137577,126000,-122000
001045,001045,CJ우,54800,2276,54900,-53700
001060,001060,JW중외제약,42000,68791,42000,-41000
001065,001065,JW중외제약우,25750,609,26050,-25400
001067,001067,JW중외제약2우B,-44600,164,45050,-43900
001070,001070,대한방직,13750,12763,13750,-13200
001080,001080,만호제강,-19350,4056,19950,-19000
001120,001120,LG상사,17200,233106,17200,-16450
001130,001130,대한제분,-186000,1499,188000,-185500
001140,001140,국보,-13750,31612,14200,-13600
001200,001200,유진투자증권,2810,155076,2810,-2740
001210,001210,금호전기,-6250,6055,6300,-6160
001230,001230,동국제강,8240,307443,8240,-7960
001250,001250,GS글로벌,2840,230107,2845,-2780
001260,001260,남광토건,-17500,108857,18300,-17200
001270,001270,부국증권,-21100,3704,21200,-20850
001275,001275,부국증권우,-19400,599,19700,-19150
001290,001290,골든브릿지증권,2515,145785,2530,-2460
001340,001340,백광산업,2815,276539,2820,-2765
001360,001360,삼성제약,2810,158349,2850,-2775
001380,001380,SG충방,-2795,1905216,2825,-2710
001390,001390,KG케미칼,17800,117292,17900,-17450
001420,001420,태원물산,6490,33649,6750,-6320
001430,001430,세아베스틸,18150,55197,18150,-17500
001440,001440,대한전선,1195,592623,1215,-1185
001450,001450,현대해상,-38950,265984,39350,-38500
001460,001460,BYC,241000,237,243000,-240000
001465,001465,BYC우,-110000,107,111500,-109000
001470,001470,삼부토건,5090,106785,5200,-5000
001500,001500,현대차증권,-9920,27999,-10000,-9800
001510,001510,SK증권,739,1204372,743,-735
001515,001515,SK증권우,-3745,289898,-3855,-3730
001520,001520,동양,2050,344709,2050,-1995
001525,001525,동양우,9650,119,9690,-9510
001527,001527,동양2우B,11100,1682,11200,11100
001529,001529,동양3우B,31400,402,31550,-31150
001530,001530,동일방직,72000,34502,72400,-66000
001550,001550,조비,-29700,88466,30850,-29150
001560,001560,제일연마,6650,28057,6760,-6510
001570,001570,금양,-2335,57116,2345,-2310
001620,001620,동국실업,-956,77261,960,-947
001630,001630,종근당홀딩스,65200,3843,65700,-63900
001680,001680,대상,26600,98373,26700,-26100
001685,001685,대상우,-12900,3008,13000,-12800
001720,001720,신영증권,60200,4750,60300,-59800
001725,001725,신영증권우,55800,518,55900,-55600
001740,001740,SK네트웍스,6070,1662441,6120,-5930
001745,001745,SK네트웍스우,-55700,945,56200,-54600
001750,001750,한양증권,6990,5714,7080,-6910
001755,001755,한양증권우,-7730,856,7810,-7720
001770,001770,신화실업,-21900,510,21950,-21650
001780,001780,알루코,-3085,264893,3160,-3080
001790,001790,대한제당,19400,6681,19650,-19350
001795,001795,대한제당우,12050,3204,12050,-11950
001799,001799,대한제당3우B,23750,241,23750,-23450
001800,001800,오리온홀딩스,19150,60994,19150,-18300
001820,001820,삼화콘덴서,67500,349778,68500,-66500
001880,001880,삼호,16400,5187,16450,-15650
001940,001940,KISCO홀딩스,13700,3800,13700,-13500
002020,002020,코오롱,33800,19309,34050,-33500
002025,002025,코오롱우,18300,3266,18350,-17900
002030,002030,아세아,130000,600,130500,-128500
002070,002070,남영비비안,6620,2050,6800,-6440
002100,002100,경농,-20400,567284,21400,-20000
002140,002140,고려산업,-2625,155934,2645,-2575
002150,002150,도화엔지니어링,-13150,501054,13500,-12800
002170,002170,삼양통상,-44000,1891,44600,-43700
002200,002200,수출포장,-20650,10506,20800,-20400
002210,002210,동성제약,17850,473118,18050,-17600
002220,002220,한일철강,22050,6222,22050,-21400
002240,002240,고려제강,27450,18435,27500,-25550
002250,002250,알보젠코리아,28700,1832,28750,-28500
002270,002270,롯데푸드,644000,1673,644000,-636000
002300,002300,한국제지,-19450,8338,19650,-19150
002310,002310,아세아제지,-33050,28895,34500,-32750
002320,002320,한진,44300,143639,44850,-42950
002350,002350,넥센타이어,10000,94058,10000,-9650
002355,002355,넥센타이어1우B,-3870,981,3875,-3870
002360,002360,SH에너지화학,-1210,566224,1225,-1200
002380,002380,KCC,321500,30983,321500,-314000
002390,002390,한독,28400,67868,28500,-27500
002410,002410,범양건영,-1890,90584,1940,-1870
002420,002420,세기상사,-74900,1609,75900,-72200
002450,002450,삼익악기,-1900,337665,1950,-1900
002460,002460,화성산업,15200,52483,15350,-15050
002600,002600,조흥,187000,140,187000,-180500
002620,002620,제일파마홀딩스,25700,9971,25800,-25200
002630,002630,오리엔트바이오,-545,2240108,555,-538
002690,002690,동일제강,-3780,140023,3800,-3670
002700,002700,신일산업,1525,1181931,1540,-1480
002710,002710,TCC동양,-2260,15166,2280,-2250
002720,002720,국제약품,-4635,68241,4720,-4585
002760,002760,보락,2420,991650,2445,-2360
002780,002780,진흥기업,2110,126490,2130,-2085
002785,002785,진흥기업우B,-4880,29682,4985,-4830
002787,002787,진흥기업2우B,-12150,14951,12600,-12050
002790,002790,아모레G,63800,191619,64800,-62800
002795,002795,아모레G우,28250,5385,28250,-27950
002810,002810,삼영무역,15350,21090,15350,-14700
002820,002820,선창산업,-6080,18793,6270,-6050
002840,002840,미원상사,251000,427,251000,248000
002870,002870,신풍제지,-1400,101672,1430,-1395
002880,002880,대유에이텍,-1220,601003,1230,-1210
002900,002900,동양물산,-2320,1839406,2380,-2300
002920,002920,유성기업,-2830,20032,-2845,-2790
002960,002960,한국쉘석유,334000,1372,334000,-326000
002990,002990,금호산업,-12400,107781,-12700,-12350
002995,002995,금호산업우,-25550,4172,26750,-25450
003000,003000,부광약품,24600,148132,24600,-24200
003010,003010,혜인,-7410,546873,7930,-7190
003030,003030,세아제강지주,54700,6007,54700,-52600
003060,003060,에이프로젠제약,-2465,300369,2530,-2465
003070,003070,코오롱글로벌,8280,12434,8290,-8100
003075,003075,코오롱글로벌우,15050,3641,15250,-14900
003080,003080,성보화학,5730,16214,5750,-5660
003090,003090,대웅,20050,51859,20200,-19750
003120,003120,일성신약,95300,274,95300,-94700
003160,003160,디아이,4515,368080,4545,-4345
003200,003200,일신방직,97300,646,97400,-96500
003220,003220,대원제약,-17350,26145,17450,-17000
003230,003230,삼양식품,68300,48611,70000,-67800
