,code,name,cur_price,volume,high_price,low_price
000020,000020,동화약품,-9850,18197,9960,-9850
000030,000030,우리은행,0,0,0,0
000040,000040,KR모터스,-528,162559,532,-519
000050,000050,경방,11250,18437,11500,-11150
000060,000060,메리츠화재,-23050,84907,23550,-23050
000070,000070,삼양홀딩스,-86800,12325,88500,-86400
000075,000075,삼양홀딩스우,-47700,298,47900,-47700
000080,000080,하이트진로,17600,138740,17650,-17400
000087,000087,하이트진로2우B,14700,482,14700,-14550
000100,000100,유한양행,247000,59435,247500,242500
000105,000105,유한양행우,214500,50,217500,213000
000120,000120,CJ대한통운,-177000,54513,179000,-173500
000140,000140,하이트진로홀딩스,7940,8256,7950,-7740
000145,000145,하이트진로홀딩스우,8140,75,8140,-8050
000150,000150,두산,98000,104869,98400,97200
000155,000155,두산우,72100,2920,72100,-71600
000157,000157,두산2우B,73000,73,73000,-72200
000180,000180,성창기업지주,2190,116579,2235,-2165
000210,000210,대림산업,-98000,117170,99700,-96900
000215,000215,대림산업우,-38250,7557,38600,-37800
000220,000220,유유제약,12000,42713,12250,11850
000225,000225,유유제약1우,-7290,2376,7380,-7290
000227,000227,유유제약2우B,18850,260,18900,18800
000230,000230,일동홀딩스,-12550,4794,12650,-12500
000240,000240,한국타이어월드와이드,16050,41750,16100,-15950
000270,000270,기아차,-35600,729565,35950,-34750
000300,000300,대유플러스,980,396919,981,941
000320,000320,노루홀딩스,-13750,2013,14000,-13700
000325,000325,노루홀딩스우,19350,733,19400,-19050
000370,000370,한화손해보험,5460,391360,5500,-5430
000390,000390,삼화페인트,-6740,12566,6830,-6730
000400,000400,롯데손해보험,-2700,318124,2740,-2675
000430,000430,대원강업,-4920,283165,5020,-4900
000480,000480,조선내화,-84200,897,85300,-84200
000490,000490,대동공업,-6640,79264,6810,-6500
000500,000500,가온전선,-19200,1017,19500,-19100
000520,000520,삼일제약,21650,41874,21850,-21150
000540,000540,흥국화재,4890,51229,4910,-4850
000545,000545,흥국화재우,-5710,4022,5960,-5700
000547,000547,흥국화재2우B,-25200,549,25450,-24750
000590,000590,CS홀딩스,-64500,682,65800,-64500
000640,000640,동아쏘시오홀딩스,-104500,12420,108000,-103500
000650,000650,천일고속,76400,722,76500,75900
000660,000660,SK하이닉스,74700,1772434,75300,74000
000670,000670,영풍,765000,640,772000,-756000
000680,000680,LS네트웍스,2900,14296,2970,-2880
000700,000700,유수홀딩스,7630,42343,7740,7540
000720,000720,현대건설,62800,324790,63300,62500
000725,000725,현대건설우,269000,15757,269000,212000
000760,000760,이화산업,21050,1909,22750,-20750
000810,000810,삼성화재,293000,50216,293500,-288500
000815,000815,삼성화재우,179500,18108,181500,-179000
000850,000850,화천기공,43650,2397,43700,43000
000860,000860,강남제비스코,-27300,6576,27600,-27050
000880,000880,한화,33550,118965,33700,33050
000885,000885,한화우,21150,2984,21200,-20850
00088K,00088K,한화3우B,15200,30478,15200,-15000
000890,000890,보해양조,1980,4019833,2010,-1955
000910,000910,유니온,4895,209592,4960,-4750
000950,000950,전방,19100,1224,19250,19050
000970,000970,한국주철관,10600,57473,10850,10600
000990,000990,DB하이텍,13000,387606,13300,-12700
000995,000995,DB하이텍1우,-36150,154,37200,-35700
001020,001020,페이퍼코리아,1060,3133938,1195,1060
001040,001040,CJ,125000,36414,125500,-123000
001045,001045,CJ우,54800,1121,54800,-54300
001060,001060,JW중외제약,41750,35353,42100,-41550
001065,001065,JW중외제약우,26100,495,26250,25900
001067,001067,JW중외제약2우B,-44950,264,-44950,-44600
001070,001070,대한방직,14200,50617,14750,-13650
001080,001080,만호제강,19250,2221,19350,-18900
001120,001120,LG상사,17600,244201,17750,17250
001130,001130,대한제분,-184000,776,-186500,-184000
001140,001140,국보,-13500,20830,13650,-13100
001200,001200,유진투자증권,2775,84597,2795,2765
001210,001210,금호전기,6220,16064,6270,-6150
001230,001230,동국제강,8430,435430,8450,-8060
001250,001250,GS글로벌,2850,200922,2900,2850
001260,001260,남광토건,17800,46042,18150,-17350
001270,001270,부국증권,-20900,2173,21000,-20850
001275,001275,부국증권우,19400,408,19550,19350
001290,001290,골든브릿지증권,2730,516273,2810,2570
001340,001340,백광산업,2865,449187,2925,-2840
001360,001360,삼성제약,2835,176360,2850,2800
001380,001380,SG충방,2890,1789590,2955,-2825
001390,001390,KG케미칼,18900,293412,19000,18200
001420,001420,태원물산,-6480,20702,6550,-6360
001430,001430,세아베스틸,18250,49539,18250,-17700
001440,001440,대한전선,1200,667334,1210,-1165
001450,001450,현대해상,38200,166396,38550,-37800
001460,001460,BYC,-240000,505,241500,-240000
