,cur_price,volume
20190218,221089,314370
20190215,219609,400591
20190214,222585,573362
20190213,220148,421989
20190212,219047,429940
20190211,218073,406059
20190208,217705,391029
20190207,220342,427842
20190201,220346,479378
20190131,220485,545247
20190130,220620,480390
20190129,218336,552586
20190128,217730,371618
20190125,217773,410001
20190124,214503,413652
20190123,212778,408600
20190122,211777,419441
20190121,212461,398034
20190118,212428,456737
20190117,210706,475884
20190116,210610,500078
20190115,209718,439488
20190114,206452,432890
20190111,207557,380061
20190110,206328,382877
20190109,206471,386247
20190108,202527,397831
20190107,203710,440191
20190104,201025,408990
20190103,199370,427976
20190102,201000,326367
20181228,204104,352677
20181227,202844,398021
20181226,202801,321499
20181224,205501,285275
20181221,206149,311388
20181220,206012,421064
20181219,207884,418796
20181218,206211,429530
20181217,207109,444522
20181214,206938,448237
20181213,209555,379818
20181212,208257,457126
20181211,205297,273932
20181210,205379,344164
20181207,207576,371590
20181206,206869,537409
20181205,210131,492716
20181204,211435,507517
20181203,213193,436588
20181130,209686,427354
20181129,211410,307230
20181128,210822,300075
20181127,209942,239211
20181126,208302,237710
20181123,205748,227202
20181122,206995,242498
20181121,207655,267903
20181120,208258,281685
20181119,210056,273198
20181116,209240,301604
20181115,208806,351042
20181114,206805,339046
20181113,207123,383421
20181112,208044,295528
20181109,208609,298072
20181108,209263,328034
20181107,207869,485225
20181106,208962,315816
20181105,207692,361302
20181102,209600,371978
20181101,202446,343813
20181031,202969,373027
20181030,201469,441585
20181029,199605,427304
20181026,202715,449197
20181025,206330,376014
20181024,209758,399734
20181023,210610,373468
20181022,216171,308740
20181019,215626,351771
20181018,214831,321762
20181017,216751,275159
20181016,214512,222512
20181015,214512,259176
20181012,216185,292573
20181011,212967,411919
20181010,222861,365683
20181008,225383,214644
20181005,226752,282139
20181004,227449,309502
20181002,230957,287868
20181001,233888,278310
20180928,234307,317870
20180927,235543,279230
20180921,233917,321703
20180920,232345,289085
20180919,230846,350949
20180918,230898,309235
20180917,230301,343167
20180914,231825,292236
20180913,228623,301308
20180912,228292,336830
20180911,228320,368210
20180910,228866,312612
20180907,228158,357560
20180906,228761,387510
20180905,229177,358187
20180904,231572,277014
20180903,230703,230513
20180831,232288,255908
20180830,230735,286926
20180829,230903,268214
20180828,230312,276889
20180827,229930,307044
20180824,229321,347291
20180823,228260,338386
20180822,227333,269270
20180821,227006,294337
20180820,224788,271600
20180817,224705,238377
20180816,224080,312519
20180814,225891,255216
20180813,224845,335380
20180810,228279,286161
20180809,230371,244882
20180808,230145,299691
20180807,230016,230339
20180806,228650,244548
20180803,228768,270494
20180802,227020,352056
20180801,230707,219034
20180731,229526,223927
20180730,229351,206497
20180727,229499,262143
20180726,228906,303334
20180725,227303,309319
20180724,228020,436133
20180723,226931,334290
20180720,228919,353236
20180719,228229,464516
20180718,229011,402771
20180717,229792,379033
20180716,230199,297122
20180713,231090,291562
20180712,228506,364407
