,cur_price,high_price,low_price,volume
20190218,222976,223468,219334,1077805
20190211,219609,222585,216736,2231941
20190207,217705,221579,217196,818871
20190128,220346,222288,216253,2429219
20190121,217773,217801,210674,2049728
20190114,212428,212450,205946,2305077
20190107,207557,207699,202359,1987207
20190102,201025,205345,198453,1163333
20181224,204104,205994,201428,1357472
20181217,206149,208065,204752,2025300
20181210,206938,210443,204321,1903277
20181203,207576,213664,206400,2345820
20181126,209686,213674,206017,1511580
20181119,205748,211139,204796,1292486
20181112,209240,210311,203205,1670641
20181105,208609,212088,205267,1788449
20181029,209600,209663,198595,1957707
20181022,202715,216321,200886,1907153
20181015,215626,218277,211762,1430380
20181008,216185,227371,212913,1284819
20181001,226752,235211,225099,1157819
20180927,234307,235662,233170,597100
20180917,233917,233917,228742,1614139
20180910,231825,231865,227100,1611196
20180903,228158,231872,226490,1610784
20180827,232288,232288,228941,1394981
20180820,229321,229522,224459,1520884
20180813,224705,227182,221809,1141492
20180806,228279,230860,227789,1305621
20180730,228768,231265,226546,1272008
20180723,229499,229716,226313,1645219
20180716,228919,231939,226955,1896678
20180709,231090,231380,226277,1771513
20180702,227287,232759,224390,1765711
20180625,232613,236139,229639,2223651
20180618,235722,240556,232076,2602653
20180611,240404,247956,240397,2076921
20180604,245158,247867,243281,1944597
20180528,243896,248240,239958,3276073
20180521,246080,248131,244477,2632480
20180514,246065,248617,244467,3083286
20180508,247771,248385,242879,2398003
20180430,246138,251657,246138,2780005
20180423,249240,250813,243651,2677672
20180416,247633,249057,244908,2647906
20180409,245507,245899,241955,1883455
20180402,242958,246752,240591,2484513
20180326,244585,245824,239944,1869027
20180319,241676,250871,241262,2107877
20180312,249397,249780,247104,1824146
20180305,245945,247643,237480,1957448
20180226,240216,248079,238725,1280443
20180219,245152,245512,240402,1825967
20180212,242183,242663,236731,1081442
20180205,236377,250399,234673,2336787
20180129,252539,260710,251960,2314527
20180122,257476,257476,248844,1999341
20180115,252026,253208,249618,1767825
20180108,249642,252473,248215,2012888
20180102,249752,250250,246594,1235904
20171226,246749,246751,241148,639826
20171218,244054,249867,242694,1346666
20171211,248207,251461,245539,1434825
20171204,246400,251368,245240,2038133
20171127,247541,254671,247275,1561927
20171120,254433,255322,252352,2064046
20171113,253399,255910,251176,1617639
20171106,254295,255993,252994,1337211
20171030,255797,256163,249742,1838082
20171023,249663,250033,247967,2263749
20171016,248954,249094,246867,1217543
20171010,247362,247973,242110,914526
20170925,239447,239447,236534,1240050
20170918,238871,242912,238181,1500302
20170911,238607,238607,235435,1509056
20170904,234372,235173,231431,1313231
20170828,235769,238346,233285,1300702
20170821,237851,238459,235196,1325194
20170814,235837,236450,232780,941790
20170807,231971,241213,231020,1333503
20170731,239545,243447,237411,1380315
20170724,240099,245317,239906,1589862
20170717,245006,245159,241917,1287878
20170710,241463,242226,237804,1397675
20170703,237987,239990,237283,1672330
20170626,239179,240280,237788,1833544
20170619,237860,238254,234619,1567512
20170612,236183,238729,235037,1706376
20170605,238169,238515,234762,1640256
20170529,237172,237265,233216,2117149
20170522,235530,236480,229295,1772887
20170515,228848,230900,226708,1814001
20170508,228602,232322,224423,1503446
20170502,224124,224124,221287,557057
20170424,220544,221704,216683,1702883
20170417,216504,216946,213382,1444778
