,code,name,cur_price,volume,high_price,low_price
000020,000020,동화약품,-9880,92273,10000,-9710
000030,000030,우리은행,0,0,0,0
000040,000040,KR모터스,-529,110185,-532,-522
000050,000050,경방,11200,18537,11300,11150
000060,000060,메리츠화재,-23300,86423,23500,-23100
000070,000070,삼양홀딩스,-87500,13414,89100,-86600
000075,000075,삼양홀딩스우,-47850,1269,-48300,-47500
000080,000080,하이트진로,-17500,92962,-17550,-17350
000087,000087,하이트진로2우B,14650,36,14750,-14550
000100,000100,유한양행,-242000,41095,247500,-241000
000105,000105,유한양행우,-212500,59,217500,-212500
000120,000120,CJ대한통운,-179000,37137,180500,-177000
000140,000140,하이트진로홀딩스,7820,7164,7830,-7620
000145,000145,하이트진로홀딩스우,-8100,395,8290,-8100
000150,000150,두산,97200,168109,98600,-96600
000155,000155,두산우,71700,1941,71900,-71400
000157,000157,두산2우B,-72500,119,72800,-72200
000180,000180,성창기업지주,-2185,126232,2220,-2155
000210,000210,대림산업,99200,105342,100500,-97400
000215,000215,대림산업우,-38550,5196,38900,-38200
000220,000220,유유제약,-11850,52016,12050,-11650
000225,000225,유유제약1우,7300,4393,7350,-7230
000227,000227,유유제약2우B,18800,91,18950,-18500
000230,000230,일동홀딩스,-12600,5079,12850,-12550
000240,000240,한국타이어월드와이드,-16050,45022,-16050,-15850
000270,000270,기아차,-35900,441673,-36350,-35800
000300,000300,대유플러스,-941,554844,969,-935
000320,000320,노루홀딩스,13950,1165,14050,-13800
000325,000325,노루홀딩스우,19300,2618,19550,-18550
000370,000370,한화손해보험,5450,435022,5470,5400
000390,000390,삼화페인트,-6750,23123,6800,-6620
000400,000400,롯데손해보험,2720,225262,2720,-2695
000430,000430,대원강업,-5010,272928,5160,-4955
000480,000480,조선내화,85000,573,85000,-84300
000490,000490,대동공업,-6760,111364,6870,-6640
000500,000500,가온전선,19350,3152,19600,-19000
000520,000520,삼일제약,-21350,51489,-21750,-21000
000540,000540,흥국화재,-4890,26819,-4895,-4815
000545,000545,흥국화재우,5840,7760,5980,-5700
000547,000547,흥국화재2우B,25350,1030,25350,-25050
000590,000590,CS홀딩스,-65200,200,65600,-64400
000640,000640,동아쏘시오홀딩스,-106000,4711,108500,-105500
000650,000650,천일고속,75800,592,75900,-75300
000660,000660,SK하이닉스,-73800,4154616,-76900,-73800
000670,000670,영풍,-760000,774,-769000,-753000
000680,000680,LS네트웍스,-2900,11439,2925,-2865
000700,000700,유수홀딩스,-7530,124012,7770,-7400
000720,000720,현대건설,62500,431320,62900,-61700
000725,000725,현대건설우,207000,2917,207000,-200500
000760,000760,이화산업,21000,2043,21100,-20350
000810,000810,삼성화재,-289500,55887,-295500,-288000
000815,000815,삼성화재우,179500,7561,180000,-179000
000850,000850,화천기공,43000,3082,43100,-42650
000860,000860,강남제비스코,-27550,7100,27800,-27200
000880,000880,한화,-33050,189053,-33400,-32700
000885,000885,한화우,-21050,7415,21350,-20600
00088K,00088K,한화3우B,-15100,18812,15300,-15100
000890,000890,보해양조,-1965,6958156,2035,-1945
000910,000910,유니온,-4835,718770,-5190,-4750
000950,000950,전방,19050,2630,19250,-18600
